}, } ,,,Delimiters
{, { ,,,
:, colon ,,,
",", comma ,,,
_, underscore ,,,
%, percent ,,,
langle, left angled bracket ,,,
rangle, right angled bracket ,,,
|, vertical bar ,,,
vert, vertical bar ,,,
Vert, double vertical bar ,,,
,,,,
ast, asterisk ,,,Binary Operations
bigcirc, big circle symbol ,,,
bigtriangledown, big upside down triangle symbol ,,,
bigtriangleup, big triangle symbol ,,,
cap, intersection ,,,
cdot, scalar product with ,,,
circ, circle symbol ,,,
cup, union ,,,
dag, dagger ,,,
dagger, dagger ,,,
ddagger, double dagger ,,,
div, divide symbol ,,,
mp, minus or plus ,,,
odot, circled dot operator ,,,
ominus, circled minus operator ,,,
oplus, circled plus operator ,,,
oslash, circled slash operator ,,,
otimes, circled times operator ,,,
pm, plus or minus ,,,
times, times ,,,
triangledown, upside down triangle symbol ,,,
triangleleft, left triangle symbol ,,,
triangleright, right triangle symbol ,,,
vee, descending wedge symbol ,,,
wedge, wedge symbol ,,,
,,,,
dfrac, fraction with numerator ,,,Math Operators
frac, fraction with numerator ,,,
int, integral ,,,
iint, double integral ,,,
iiint, triple integral ,,,
iiiint, quadruple integral ,,,
oint, loop intergral ,,,
oiint, double loop integral ,,,
oiiint, triple loop integral ,,,
ointclockwise, clockwise loop integral ,,,
ointctrclockwise, counter clockwise loop integral ,,,
oiintclockwise, clockwise double loop integral ,,,
oiintctrclockwise, counter clockwise double loop integral ,,,
oiiintclockwise, clockwise triple loop integral ,,,
oiiintctrclockwise, counter clockwise triple loop integral ,,,
prod, product ,,,
sum, sum ,,,
,,,,
approx, is approximately equal to ,,,Binary Relations
approxeq, is approximately equal to ,,,
backsim, is similar to ,,,
backsimeq, is similar or equal to ,,,
because, because ,,,
eqsim, is equal or similar to ,,,
equal, equals ,,,
equiv, exactly equals ,,,
in, is a member of ,,,
Longmapsfrom, maps from ,,,
longmapsfrom, maps from ,,,
napprox, is not approximately equal to ,,,
napproxeq, is not approximately equal to ,,,
nbacksim, is not similar to ,,,
nbacksimeq, is not similar or equal to ,,,
ne, is not equal to ,,,
neq, is not equal to ,,,
nequiv, does not exactly equal ,,,
nin, is not a member of ,,,
nLongmapsfrom, does not map from ,,,
